episodeId,camera,expectedClass,humanSuccess,B1_center_in_footprint,B2_footprint_overlap,B3_full_inner_containment,B4_full_containment_started_outside,B5_terminal_3d_containment,overlapFrac,anyNaivePass,wr_terminal_only_status,wr_terminal_only_class,wr_relation_event_status,wr_relation_event_class,wr_placed_from_outside_status,wr_placed_from_outside_class,wrStructuredCertifies
oic_fail_on_rim_001,sony_front,left_on_rim,False,False,False,False,False,False,0.0685,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_002,iphone_top,left_on_rim,False,False,False,False,False,False,0.4364,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_on_rim_002,sony_front,left_on_rim,False,False,False,False,False,False,0.2686,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_003,iphone_top,left_on_rim,False,False,False,False,False,False,0.2226,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_on_rim_003,sony_front,left_on_rim,False,False,False,False,False,False,0.2155,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_outside_001,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_001,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_002,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_002,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_003,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_003,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_004,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,UNCERTAIN,extractor_uncertainty,False
oic_fail_outside_004,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,FAIL,NEAR_NOT_INSIDE,False
oic_fail_outside_005,iphone_top,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
oic_fail_outside_005,sony_front,dropped_or_left_outside,False,False,False,False,False,False,0.0,False,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,FAIL,DROPPED_OUTSIDE,False
