world,clipId,kind,groundTruth,expectedClass,terminal,relationEvent,placed,structuredCertifies,leakageClean,physicalValidity,terminalClass,structuredClass
sony,oic_success_008__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_009__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_009__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_010__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_010__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_011__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_011__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_012__iphone_top,success,PASS,success,UNCERTAIN,UNCERTAIN,UNCERTAIN,False,,,extractor_uncertainty,extractor_uncertainty
sony,oic_success_012__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_013__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_013__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_014__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_014__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_015__iphone_top,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_015__sony_front,success,PASS,success,PASS,PASS,FAIL,True,True,,,
sony,oic_success_016__iphone_top,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_016__sony_front,success,PASS,success,PASS,FAIL,PASS,True,True,,,BORN_INSIDE_NO_TRANSITION
sony,oic_success_hand_obstruction_001__iphone_top,success,PASS,success_hand_obstruction,FAIL,FAIL,FAIL,False,True,,DROPPED_OUTSIDE,DROPPED_OUTSIDE
sony,oic_success_hand_obstruction_001__sony_front,success,PASS,success_hand_obstruction,FAIL,FAIL,FAIL,False,True,,LEFT_ON_RIM,LEFT_ON_RIM
sony,oic_success_tag_obstruction_001__iphone_top,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_001__sony_front,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_002__iphone_top,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,NEAR_NOT_INSIDE,NEAR_NOT_INSIDE
sony,oic_success_tag_obstruction_002__sony_front,success,PASS,success_tag_obstruction,FAIL,FAIL,FAIL,False,True,,RELATION_MISMATCH,BORN_INSIDE_NO_TRANSITION
rh20t,task_0017_user_0010_scene_0005_cfg_0003,real_positive,PASS,real_positive,PASS,PASS,,True,True,,,
rh20t,task_0017_user_0010_scene_0005_cfg_0003_negative,derived_negative,FAIL,derived_negative,FAIL,FAIL,,False,True,,,
